conditions,response,is_lightweight
environment_intent_type == "alternate_navigation_used",<say-as interpret-as="interjection">all righty</say-as> I think that's close enough,False
environment_intent_type == "alternate_navigation_used",I got as close as I could.,False

environment_intent_type == "alternate_navigation_used" and environment_intent_action_type == "GotoObject" and environment_intent_entity != null,Hope that's close enough to the {environment_intent_entity}!,False
environment_intent_type == "alternate_navigation_used" and environment_intent_action_type == "GotoObject" and environment_intent_entity != null,<say-as interpret-as="interjection">all righty</say-as> - I think that's close enough to the {environment_intent_entity},False
environment_intent_type == "alternate_navigation_used" and environment_intent_action_type == "GotoObject" and environment_intent_entity != null,I got as close as I could to the {environment_intent_entity},False

environment_intent_type == "arena_unavailable",Love the enthusiasm but I wasn't in the room yet! What would you like me to do again?,False

environment_intent_type == "generic_failure",I'm having some trouble and I'm not sure what to do - can you give me another instruction?,False
environment_intent_type == "generic_failure",I'm having some trouble. Can you try rephrase that?,False
environment_intent_type == "generic_failure",I'm struggling with this one. Are you able to give me a different instruction?,False

environment_intent_type == "incorrect_action_format",I tried to perform an action but looks like I don't remember how to do it. Can you give me a different instruction?,False

environment_intent_type == "invalid_command",I had trouble executing the instruction. Could you please give me a different instruction?,False

environment_intent_type == "invalid_object_class",<say-as interpret-as="interjection">oops</say-as> - I made a mistake in interacting with that. Could you please give me a different instruction?,False

environment_intent_type == "invalid_object_class" and environment_intent_entity != null,<say-as interpret-as="interjection">oops</say-as> - I made a mistake in interacting with the {environment_intent_entity}. Could you please give me a different instruction?,False

environment_intent_type == "killed_by_hazard",I am dead,False
environment_intent_type == "killed_by_hazard",<say-as interpret-as="interjection">ouch</say-as>,False
environment_intent_type == "killed_by_hazard",<say-as interpret-as="interjection">ouch</say-as>. Let's not do that again,False
environment_intent_type == "killed_by_hazard",<say-as interpret-as="interjection">no</say-as>,False

environment_intent_type == "object_not_picked_up",I didn't pick that up for some reason - can you give me a different instruction?,False

environment_intent_type == "object_not_picked_up" and environment_intent_entity != null,I'm not holding the {environment_intent_entity} - can you give me a different instruction?,False
environment_intent_type == "object_not_picked_up" and environment_intent_entity != null,I'm not holding the {environment_intent_entity},False

environment_intent_type == "object_overloaded",<say-as interpret-as="interjection">hmm</say-as> - it seems like it is currently overloaded. I think we need to fix that first?,False

environment_intent_type == "object_unpowered",<say-as interpret-as="interjection">hmm</say-as> - it seems like it's not currently powered. Try reading a sticky note for help on how to turn on the power!,False
environment_intent_type == "object_unpowered",<say-as interpret-as="interjection">hmm</say-as> - it seems like it's not currently powered. I think we need to handle that first?,False
environment_intent_type == "object_unpowered",<say-as interpret-as="interjection">hmm</say-as> - seems like the power is off. Maybe you can get a useful hint by reading a sticky note,False

environment_intent_type == "object_unpowered" and environment_intent_entity != null,It seems like the {environment_intent_entity} is not powered. Say 'Turn on the power' to bring back the electricity in this lab. Otherwise - try reading a sticky note for help on how to turn on the power,False

environment_intent_type == "post_process_error",Something went wrong when I tried to execute this action in the Arena. Can you give me a different instruction?,False

environment_intent_type == "receptacle_is_closed",Readjusting my plan,True
environment_intent_type == "receptacle_is_closed",I can't do that because the thing is closed,False
environment_intent_type == "receptacle_is_closed",I can't do that because it's closed,False

environment_intent_type == "receptacle_is_closed" and environment_intent_entity != null,I can't do that because the {environment_intent_entity} is closed.,False
environment_intent_type == "receptacle_is_closed" and environment_intent_entity != null,<say-as interpret-as="interjection">oops</say-as> Need to first open the {environment_intent_entity}.,True

environment_intent_type == "receptacle_is_full",It looks full - any more and it would overflow!,False
environment_intent_type == "receptacle_is_full",<amazon:emotion name="disappointed" intensity="low">If we added anything else - it would overflow.</amazon:emotion><prosody rate="fast">and that is a nono!</prosody>,False
environment_intent_type == "receptacle_is_full",<amazon:emotion name="disappointed" intensity="low">If we added anything else - it would overflow.</amazon:emotion><prosody rate="fast">and that is bad!</prosody>,False
environment_intent_type == "receptacle_is_full",It looks like that is already full.,False

environment_intent_type == "receptacle_is_full" and environment_intent_action_type == "Place" and environment_intent_entity != null,It looks like the {environment_intent_entity} is full.,False
environment_intent_type == "receptacle_is_full" and environment_intent_action_type == "Place" and environment_intent_entity != null,There's not enough space in the {environment_intent_entity}.,False

environment_intent_type == "target_inaccessible" and environment_intent_entity != null,I can't access the {environment_intent_entity} from here. Can you provide me an instruction so it's in my view?,False

environment_intent_type == "target_out_of_range",<say-as interpret-as="interjection">whoops</say-as> I was too far. Let's get closer,True
environment_intent_type == "target_out_of_range",<say-as interpret-as="interjection">whoops</say-as> Let's get closer,True
environment_intent_type == "target_out_of_range",<say-as interpret-as="interjection">whoops</say-as> it's too far. Can you tell me how to get closer?,False

environment_intent_type == "target_out_of_range" and  environment_intent_entity != null,The {environment_intent_entity} was too far. Moving closer,True

environment_intent_type == "target_out_of_range" and environment_intent_action_type == "Place" and environment_intent_entity != null,I can't reach the {environment_intent_entity} from here. Can you help me get closer?,False

environment_intent_type == "target_out_of_range" and environment_intent_entity != null,The {environment_intent_entity} is too far away. I think we should get closer first.,False

environment_intent_type == "unsupported_action",I'm not allowed to perform that action on that object - do you have another instruction to perform?,False
environment_intent_type == "unsupported_action",<amazon:domain name="conversational">I'm sorry - I'm afraid I can't do that</amazon:domain>,False
environment_intent_type == "unsupported_action",I'm not allowed to perform that action on that object - what do you want me to do next?,False
environment_intent_type == "unsupported_action",I'm not able to perform that action on that object - what do you want me to do next?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type != null and environment_intent_action_type !~ "(Place|Pour|Fill|Clean)" and environment_intent_entity != null,I'm unable to {environment_intent_action_type} the {environment_intent_entity}.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type != null and environment_intent_action_type !~ "(Place|Pour|Fill|Clean)" and environment_intent_entity != null,I'm afraid that I can't {environment_intent_action_type} the {environment_intent_entity}.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type != null and environment_intent_action_type !~ "(Place|Pour|Fill|Clean)" and environment_intent_entity != null,I can't {environment_intent_action_type} the {environment_intent_entity}.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type != null and environment_intent_action_type !~ "(Place|Pour|Fill|Clean)" and environment_intent_entity != null,I'm not allowed to {environment_intent_action_type} the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type != null and environment_intent_entity =~ "(Action Figure|Can|Dart|Fan|Fork|Hammer|Handsaw|Knife|Circuit Board|Control Panel|Laser Tip|Printer Cartridge|Radio|Screwdriver|Spoon)",Sorry I was unable to {environment_intent_action_type} it. I can only pick up the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type != null and environment_intent_entity =~ "(Apple|Banana|Bread|Burger|Cake|Candy Bar|Carrot|Donut|Pear|Pie|Sandwich)",I'm not allowed to {environment_intent_action_type} the {environment_intent_entity}. I can only pick it up.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type != null and environment_intent_entity =~ "(Cereal Box|Coffee Beans|Milk)" and inventory_entity == null,Sorry I can't {environment_intent_action_type} the {environment_intent_entity}. You can ask me to pick it up instead.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Break" and environment_intent_entity =~ "(Floppy Disk|Record|Trophy|Bowl|Mug|Plate)",To break the {environment_intent_entity} we need to pick up a hammer!,False
environment_intent_type == "unsupported_action" and environment_intent_action_type == "Break" and environment_intent_entity =~ "(Floppy Disk|Record|Trophy|Bowl|Mug|Plate)",I can only break objects if I am holding a hammer.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type == "Break" and environment_intent_entity =~ "(Floppy Disk|Record|Trophy|Bowl|Mug|Plate)",We need a hammer to break the {environment_intent_entity},False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Fill" and environment_intent_entity =~ "(Bowl|Mug)" and inventory_entity != null and inventory_entity != environment_intent_entity,I cannot fill the {environment_intent_entity} with the {inventory_entity}. I could try pouring it into the {environment_intent_entity},False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Fill" and environment_intent_entity =~ "(Bowl|Mug)" and inventory_entity == environment_intent_entity,I can only fill the {environment_intent_entity} with water at a sink that has been turned on,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Fill" and environment_intent_entity =~ "(Bowl|Mug)" and inventory_entity == null,I can only fill the {environment_intent_entity} with water from a sink if I am holding it.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Open" and environment_intent_entity != null,Let's try one more time.,True
environment_intent_type == "unsupported_action" and environment_intent_action_type == "Open" and environment_intent_entity != null,Oops - It's already open. Moving on.,True

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Bowl" and inventory_entity == "Cereal Box",I couldn't place the cereal box into the bowl. If you want me to pour it instead say pour the cereal in the bowl.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Coffee Maker" and inventory_entity =~ "Coffee Pot",I can only place the coffee pot in the coffee maker. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Computer" and inventory_entity =~ "Floppy Disk",I can only place a floppy disk in the computer. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Fuse Box" and inventory_entity =~ "Lever",I can only place a lever in the fuse box. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Laser" and inventory_entity =~ "(Laser Tip|Control Panel)",I can only place a laser tip or a control panel in the laser. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Printer" and inventory_entity =~ "Printer Cartridge",I can only place a printer cartridge in the printer. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Toaster" and inventory_entity =~ "Bread",I can only toast bread? Can you give me a different instruction?,False
environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Toaster" and inventory_entity =~ "Bread",I can only place bread in the toaster. Can you give me a different instruction?,False
environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity == "Toaster" and inventory_entity =~ "Bread",I can only put bread in the toaster. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity =~ "(Bookshelf|Color Changer|Counter|Counter|Cutting Board|Dart Board|Desk|Embiggenator|Everything's A Carrot Machine|Freeze Ray Shelf|Gravity Pad|Laser Shelf|Shelf|Table)" and inventory_entity == null, Sorry - I'm afraid I am not holding anything to place on the {environment_intent_entity}. You can ask me to search or pick up any desired objects.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity =~ "(Cabinet|Drawer|Freezer|Fridge|Microwave|Printer|Sink|Time Machine|Toaster)" and inventory_entity == null, Sorry - I'm afraid I am not holding anything to place in the {environment_intent_entity}. You can ask me to search or pick up any desired objects.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity =~ "(Cabinet|Drawer|Freezer|Fridge|Microwave|Printer|Sink|Time Machine|Toaster)" and inventory_entity == null, Sorry - I'm afraid I am not holding anything to place inside the {environment_intent_entity}. You can ask me to search or pick up any desired objects.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Place" and environment_intent_entity =~ "(Table|Counter|Desk|Freeze Ray Shelf|Laser Shelf|Carrot Maker|Gravity Pad|Shelf|Bookshelf)",I can't place any more onto the {environment_intent_entity}. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Pour" and environment_intent_entity =~ "(Bowl|Mug)" and inventory_entity != null and inventory_entity != environment_intent_entity,I could not pour the {inventory_entity} into the {environment_intent_entity}. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Pour" and environment_intent_entity =~ "(Bowl|Mug)" and inventory_entity == environment_intent_entity,I cannot pour the {environment_intent_entity} - I can pour other objects into it but we should pick them up instead.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Pour" and environment_intent_entity =~ "(Bowl|Mug)" and inventory_entity == null,I'm not holding anything to pour into the {environment_intent_entity}. We should first pick it up!,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Pour" and inventory_entity != null and environment_intent_entity != null,I'm afraid  I can't pour the {inventory_entity} in the {environment_intent_entity}.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type == "Pour" and inventory_entity != null and environment_intent_entity != null,I was unable to pour the {inventory_entity} in the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Toggle" and environment_intent_entity == "Embiggenator",To activate the embiggenator we should find the pink computer and turn that on.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Toggle" and environment_intent_entity == "Freeze Ray",To activate the freeze ray we should find the blue computer and turn that on.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Toggle" and environment_intent_entity == "Fuse Box",I couldn't turn on the fuse box. If there's a lever inside I think I could turn that on.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type == "Toggle" and environment_intent_entity == "Fuse Box",I can't turn on the fuse box. I can open it and if there's a lever inside I could turn that on.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Toggle" and environment_intent_entity == "Gravity Pad",To activate the gravity flipper we should find the green computer and turn that on.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type == "Toggle" and environment_intent_entity == "Laser",To activate the laser we should find the red computer and turn that on.,False

environment_intent_type == "unsupported_action" and environment_intent_action_type =~ "(Clean|Fill)" and environment_intent_entity == "Sink",Let's try one more time.,True
environment_intent_type == "unsupported_action" and environment_intent_action_type =~ "(Clean|Fill)" and environment_intent_entity == "Sink",Let's try toggling the sink first.,True

environment_intent_type == "unsupported_action" and environment_intent_action_type =~ "(Place|Pour|Fill|Clean)" and inventory_entity != null,I'm afraid that I can't {environment_intent_action_type} the {inventory_entity}.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type =~ "(Place|Pour|Fill|Clean)" and inventory_entity != null,I can't {environment_intent_action_type} the {inventory_entity}.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type =~ "(Place|Pour|Fill|Clean)" and inventory_entity != null,I'm unable to {environment_intent_action_type} the {inventory_entity}.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type =~ "(Place|Pour|Fill|Clean)" and inventory_entity != null,Sorry - I can't {environment_intent_action_type} the {inventory_entity}.,False
environment_intent_type == "unsupported_action" and environment_intent_action_type =~ "(Place|Pour|Fill|Clean)" and inventory_entity != null,I'm not allowed to {environment_intent_action_type} the {inventory_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Button",Sorry I can only push the button.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Candy Bar",I can only pick up or open the candy bar.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Coffee Pot",I can only pick up - fill with running water from the sink - or pour the coffee pot.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Color Changer",I can only use the color changer to place objects on it and change their color by pushing one of its buttons.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Counter",To interact with the counter I can only open it or place other objects in it.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Cup",I can only pick up the cup or put what I am holding in it.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Everything's A Carrot Machine",I can only turn on or place objects on the Everything's a Carrot Machine.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Fuse Box",Sorry but I can only open the fuse box.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Lever",I can only pick up or turn on the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Plate",I can only pick up break or put things on the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity == "Sink",I can place objects in the sink turn it on or fill up what I am holding.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Cereal Box|Coffee Beans|Milk)" and inventory_entity != null and environment_intent_entity == inventory_entity,I can only place or pour the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Coffee Maker|Coffee Unmaker)",When it comes to the {environment_intent_entity} I can only turn it on or pour what I'm holding into it.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Fire Alarm|Forklift|Light Switch|Robot Arm|Tesla Coil)",I can only turn on and off the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Floppy Disk|Record|Trophy)",I can only pick up or break the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Fridge|Freezer|Cabinet|Drawer)",I can only open - close - or place what I am holding in the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Jar|Boxes|Trash Can|Vending Machine|Laser)",I can only place objects in the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Microwave|Time Machine)",To use the {environment_intent_entity} I can open it place an object in it close it and turn it on.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Printer|Toaster)",I can only turn on or place objects in the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and environment_intent_entity =~ "(Table|Shelf|Wall Shelf|Counter Top|Cutting Board|Dart Board|Tray|Gravity Pad|Embiggenator)",I can only place objects on the {environment_intent_entity}.,False

environment_intent_type == "unsupported_action" and interaction_action_type == "Break" and inventory_entity == "Hammer" and interaction_action_entity =~ "(Record|Floppy Disk|Trophy|Mug|Bowl|Plate)",We cannot break the {interaction_action_entity} using the hammer. Can you give me a different instruction?,False

environment_intent_type == "unsupported_action" and interaction_action_type == "Break" and inventory_entity == null and interaction_action_entity != null,We need to pick up a hammer in order to break the {interaction_action_entity}. Let's first find a hammer, or print one using the 3D printer.,False

environment_intent_type == "unsupported_navigation" and verbal_interaction_intent_type != "confirm_before_plan",<amazon:domain name="conversational">I can't calculate a path without anything in the way</amazon:domain>,False
environment_intent_type == "unsupported_navigation" and verbal_interaction_intent_type != "confirm_before_plan",<say-as interpret-as="interjection">le sigh</say-as> - I'm unable to figure out a clear route. Can you give me another instruction?,False
environment_intent_type == "unsupported_navigation" and verbal_interaction_intent_type != "confirm_before_plan",<say-as interpret-as="interjection">darn</say-as> - There's no clear path - do you have a different instruction?,False
environment_intent_type == "unsupported_navigation" and verbal_interaction_intent_type != "confirm_before_plan",<amazon:domain name="conversational">Looks like I can't go there - can you give me another instruction?</amazon:domain>,False
environment_intent_type == "unsupported_navigation" and verbal_interaction_intent_type != "confirm_before_plan",<say-as interpret-as="interjection">oops</say-as> - I can't go where I wanted to go - do you have another instruction?,False

environment_intent_type == "unsupported_navigation" and verbal_interaction_intent_type != "confirm_before_plan" and environment_intent_action_type == "GotoObject",<say-as interpret-as="interjection">well</say-as> - it looks like there's no way to get there right now. Can you give me another instruction?,False
environment_intent_type == "unsupported_navigation" and verbal_interaction_intent_type != "confirm_before_plan" and environment_intent_action_type == "GotoObject",I can't go to it because there's no clear path to it - can you give me another instruction?,False

environment_intent_type == "unsupported_navigation" and current_room == "Lab1" and verbal_interaction_intent_type == "confirm_before_plan",<amazon:domain name="conversational">I couldn't get there. Maybe something is blocking my path. Should I activate the robot arm to move the box?</amazon:domain>,False

interaction_action_type == "Break",<say-as interpret-as="interjection">boom</say-as>,False

interaction_action_type == "Break" and interaction_action_entity == "Record",<amazon:emotion name="excited" intensity="medium">I'm hammering away at this task!</amazon:emotion>,False
interaction_action_type == "Break" and interaction_action_entity == "Record",<amazon:emotion name="excited" intensity="low">Let's break some records today</amazon:emotion>,False
interaction_action_type == "Break" and interaction_action_entity == "Record",<amazon:emotion name="excited" intensity="medium">Looks like we're smashing records today?</amazon:emotion>,False
interaction_action_type == "Break" and interaction_action_entity == "Record",<amazon:emotion name="excited" intensity="low">Breaking records is always music to my ears</amazon:emotion>,False

interaction_action_type == "Clean" and inventory_entity != null and utterance_queue_not_empty,<amazon:emotion name="excited" intensity="low">I'll get the {inventory_entity} sparkling clean in no time!</amazon:emotion>,True

interaction_action_type == "GotoObject" and interaction_action_entity == "Coffee Maker" and inventory_entity == "Coffee Beans",<amazon:emotion name="excited" intensity="medium"> Oh I got this! </amazon:emotion>Ask me to pour the coffee beans into the coffee maker,False

interaction_action_type == "GotoObject" and interaction_action_entity == "Coffee Maker" and inventory_entity == null,<amazon:emotion name="excited" intensity="medium">This machine can be used create the fuel for the world!</amazon:emotion>If you want to know more - ask me - how can I use the coffee maker?,False

interaction_action_type == "GotoObject" and interaction_action_entity == "Coffee Unmaker" and inventory_entity == null,The coffee composer recycles coffee into coffee beans. If you want to know more - ask me - how can I use the coffee composer?,False

interaction_action_type == "GotoObject" and interaction_action_entity == "Time Machine" and inventory_entity == null,This time machine can be used to turn objects into their original state! Let's find something that we can repair before using the time machine.,False

interaction_action_type == "MoveForward" and action_type_counter["MoveForward"] > 1 and current_room != null,If you want to move faster through the {current_room} say - next viewpoint - and I will move to a new location in this room, False

interaction_action_type == "Pickup" and interaction_action_entity != null and interaction_action_entity == "Coffee Beans",<amazon:emotion name="excited" intensity="low">We can make fresh coffee by pouring coffee beans and water into the coffee maker.</amazon:emotion>,False

interaction_action_type == "Pickup" and interaction_action_entity != null and utterance_queue_not_empty and environment_intent_type == null,<amazon:emotion name="excited" intensity="low">{interaction_action_entity} retrieved!</amazon:emotion>,False
interaction_action_type == "Pickup" and interaction_action_entity != null and utterance_queue_not_empty and environment_intent_type == null,<amazon:emotion name="excited" intensity="low">Got the {interaction_action_entity}!</amazon:emotion>,False

interaction_action_type == "Place" and interaction_action_entity == "Color Changer" and inventory_entity != null,To change the color of the {inventory_entity} - tell me to press the red green or blue button!,False
interaction_action_type == "Place" and interaction_action_entity == "Color Changer" and inventory_entity != null,To turn the {inventory_entity} into a different color - tell me to press the red green or blue button!,False

interaction_action_type == "Place" and interaction_action_entity == "Freeze Ray Shelf" and inventory_entity != null,To freeze the {inventory_entity} - we should find the blue computer and turn it on!,False

interaction_action_type == "Place" and interaction_action_entity == "Laser Shelf" and inventory_entity != null,To use the laser on the {inventory_entity} - we should find the computer and turn it on!,False

interaction_action_type == "Place" and interaction_action_entity =~ "(Bookshelf|Color Changer|Counter|Counter|Cutting Board|Dart Board|Desk|Embiggenator|Everything's A Carrot Machine|Freeze Ray Shelf|Gravity Pad|Laser Shelf|Shelf|Table)" and inventory_entity != null,Placing the {inventory_entity} on the {interaction_action_entity},True

interaction_action_type == "Place" and interaction_action_entity =~ "(Cabinet|Drawer|Freezer|Fridge|Microwave|Printer|Sink|Time Machine|Toaster)" and inventory_entity != null and utterance_queue_not_empty,Placing the {inventory_entity} in the {interaction_action_entity},True
interaction_action_type == "Place" and interaction_action_entity =~ "(Cabinet|Drawer|Freezer|Fridge|Microwave|Printer|Sink|Time Machine|Toaster)" and inventory_entity != null and utterance_queue_not_empty,<amazon:emotion name="excited" intensity="low">{inventory_entity} - meet the {interaction_action_entity}</amazon:emotion>,True

interaction_action_type == "Toggle" and interaction_action_entity != null,Turning on the {interaction_action_entity}!,True
interaction_action_type == "Toggle" and interaction_action_entity != null,Activating the {interaction_action_entity}!,True

interaction_action_type == "Toggle" and interaction_action_entity == "Lever",Pulling the lever!,True

interaction_action_type == "Toggle" and interaction_action_entity == "Robot Arm", I guess you could say we've got a handle on things now., True

interaction_action_type =~ "(GotoRoom|GotoObject)",Getting there!,True

physical_interaction_intent_type != null,',True
physical_interaction_intent_type != null,',False

physical_interaction_intent_type == "act_one_match",<say-as interpret-as="interjection">all righty</say-as>.,False
physical_interaction_intent_type == "act_one_match",',True
physical_interaction_intent_type == "act_one_match",<say-as interpret-as="interjection">alrighty</say-as> - <amazon:domain name="conversational">What's next?</amazon:domain>,False
physical_interaction_intent_type == "act_one_match",Now what?,False
physical_interaction_intent_type == "act_one_match",So what's next?,False
physical_interaction_intent_type == "act_one_match",<say-as interpret-as="interjection">righto</say-as>,False
physical_interaction_intent_type == "act_one_match",Alright,False
physical_interaction_intent_type == "act_one_match",So what should I do next?,False
physical_interaction_intent_type == "act_one_match",Alright what's next?,False
physical_interaction_intent_type == "act_one_match",<say-as interpret-as="interjection">okey dokey</say-as>,False
physical_interaction_intent_type == "act_one_match",Done,False

physical_interaction_intent_type == "act_one_match" and interaction_action_type == "Pickup" and interaction_action_entity != null,So what are we doing with the {interaction_action_entity}?,False

physical_interaction_intent_type == "search" and current_room != null and interaction_action_type == null,<amazon:emotion name="disappointed" intensity="high">I searched for the thing in this room but I didn't see it.</amazon:emotion><amazon:emotion name="disappointed" intensity="low">Maybe we should look in another room?</amazon:emotion>,False

physical_interaction_intent_type == "search" and current_room != null and physical_interaction_intent_entity != null and interaction_action_type == null,I searched for the {physical_interaction_intent_entity} in the {current_room} but I didn't see it. Maybe we should look in another room?,False

physical_interaction_intent_type == "search" and interaction_action_entity != null and interaction_action_entity != "Background" and interaction_action_type == "GotoObject" and interaction_action_per_turn[-1]["type"] == "Scan" and not utterance_queue_not_empty,Found the {interaction_action_entity} - I've marked it on my map,False
physical_interaction_intent_type == "search" and interaction_action_entity != null and interaction_action_entity != "Background" and interaction_action_type == "GotoObject" and interaction_action_per_turn[-1]["type"] == "Scan" and not utterance_queue_not_empty,Found the {interaction_action_entity} - what are we doing next?,False
physical_interaction_intent_type == "search" and interaction_action_entity != null and interaction_action_entity != "Background" and interaction_action_type == "GotoObject" and interaction_action_per_turn[-1]["type"] == "Scan" and not utterance_queue_not_empty,Found the {interaction_action_entity} - now what should I do?,False

